Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launchoutcome,Date,Time,Version Booster,Launch outcome,Booster landing
112,CCSFS,Starlink,"15,600kg",LEO,SpaceX,,24 March 2021,08:28,F9 B5B1060.6643,"Success
",Success
113,CCSFS,Starlink,"15,600kg",LEO,SpaceX,,7 April 2021,16:34,F9 B5 ♺,"Success
",Success
114,KSC,Crew-2,"~13,000kg",LEO,NASA,,23 April 2021,9:49,F9 B5B1061.2647,"Success
",Success
115,CCSFS,Starlink,"15,600kg",LEO,SpaceX,,29 April 2021,03:44,F9 B5B1060.7652,"Success
",Success
116,KSC,Starlink,"15,600kg",LEO,SpaceX,,4 May 2021,19:01,F9 B5B1049.9655,"Success
",Success
117,CCSFS,Starlink,"15,600kg",LEO,SpaceX,,9 May 2021,06:42,F9 B5B1051.10657,"Success
",Success
118,KSC,Starlink,"~14,000kg",LEO,SpaceX,,15 May 2021,22:56,F9 B5B1058.8660,"Success
",Success
119,CCSFS,Starlink,"15,600kg",LEO,SpaceX,,26 May 2021,18:59,F9 B5B1063.2665,"Success
",Success
120,KSC,SpaceX CRS-22,"3,328kg",LEO,NASA,,3 June 2021,17:29,F9 B5B1067.1668,"Success
",Success
121,CCSFS,SXM-8,"7,000kg",GTO,Sirius XM,,6 June 2021,04:26,F9 B5,"Success
",Success
